run,timestamp,reranker,category,n,top_k,baseline_top1,reranked_top1,baseline_mrr,reranked_mrr,n_improved,n_worsened,n_unchanged,n_stage1_miss,avg_embed_latency_sec,avg_rerank_latency_sec,faq_corpus_embed_time_sec
1,2026-09-11 13:56:34,bge-reranker-v2-m3,전체,57,3,0.772,0.772,0.846,0.833,4,3,44,6,0.01128,0.01163,0.859
1,2026-09-11 13:56:34,bge-reranker-v2-m3,Easy,9,3,0.778,0.889,0.87,0.944,2,0,7,0,,,
1,2026-09-11 13:56:34,bge-reranker-v2-m3,Hard,9,3,0.667,0.556,0.748,0.667,1,2,4,2,,,
1,2026-09-11 13:56:34,bge-reranker-v2-m3,Medium,9,3,0.444,0.444,0.601,0.556,0,0,6,3,,,
1,2026-09-11 13:56:34,bge-reranker-v2-m3,구어체,10,3,1.0,1.0,1.0,1.0,0,0,10,0,,,
1,2026-09-11 13:56:34,bge-reranker-v2-m3,긴질문,10,3,0.7,0.7,0.825,0.8,1,1,7,1,,,
1,2026-09-11 13:56:34,bge-reranker-v2-m3,오타,10,3,1.0,1.0,1.0,1.0,0,0,10,0,,,
1,2026-09-11 13:56:34,bge-reranker-v2-m3,전체,57,5,0.772,0.772,0.846,0.844,6,3,44,4,0.01128,0.01242,0.859
1,2026-09-11 13:56:34,bge-reranker-v2-m3,Easy,9,5,0.778,0.889,0.87,0.944,2,0,7,0,,,
1,2026-09-11 13:56:34,bge-reranker-v2-m3,Hard,9,5,0.667,0.556,0.748,0.648,1,2,4,2,,,
1,2026-09-11 13:56:34,bge-reranker-v2-m3,Medium,9,5,0.444,0.444,0.601,0.583,1,0,6,2,,,
1,2026-09-11 13:56:34,bge-reranker-v2-m3,구어체,10,5,1.0,1.0,1.0,1.0,0,0,10,0,,,
1,2026-09-11 13:56:34,bge-reranker-v2-m3,긴질문,10,5,0.7,0.7,0.825,0.85,2,1,7,0,,,
1,2026-09-11 13:56:34,bge-reranker-v2-m3,오타,10,5,1.0,1.0,1.0,1.0,0,0,10,0,,,
1,2026-09-11 13:56:34,bge-reranker-v2-m3,전체,57,10,0.772,0.772,0.846,0.862,10,4,43,0,0.01128,0.01865,0.859
