run,timestamp,reranker,category,n,top_k,baseline_top1,reranked_top1,baseline_mrr,reranked_mrr,n_improved,n_worsened,n_unchanged,n_stage1_miss,avg_embed_latency_sec,avg_rerank_latency_sec,faq_corpus_embed_time_sec
1,2026-09-11 15:15:15,bge-reranker-v2-m3,전체,235,3,0.783,0.621,0.881,0.794,26,65,137,7,0.01117,0.01155,0.973
1,2026-09-11 15:15:15,bge-reranker-v2-m3,Easy,9,3,0.778,0.889,0.87,0.944,2,0,7,0,,,
1,2026-09-11 15:15:15,bge-reranker-v2-m3,Hard,9,3,0.667,0.556,0.748,0.667,1,2,4,2,,,
1,2026-09-11 15:15:15,bge-reranker-v2-m3,Medium,9,3,0.444,0.444,0.601,0.556,0,0,6,3,,,
1,2026-09-11 15:15:15,bge-reranker-v2-m3,구어체,10,3,1.0,1.0,1.0,1.0,0,0,10,0,,,
1,2026-09-11 15:15:15,bge-reranker-v2-m3,긴질문,10,3,0.7,0.7,0.825,0.8,1,1,7,1,,,
1,2026-09-11 15:15:15,bge-reranker-v2-m3,오타,10,3,1.0,1.0,1.0,1.0,0,0,10,0,,,
1,2026-09-11 15:15:15,bge-reranker-v2-m3,확장,178,3,0.787,0.573,0.892,0.782,22,62,93,1,,,
1,2026-09-11 15:15:15,bge-reranker-v2-m3,전체,235,5,0.783,0.621,0.881,0.799,29,65,137,4,0.01117,0.01192,0.973
1,2026-09-11 15:15:15,bge-reranker-v2-m3,Easy,9,5,0.778,0.889,0.87,0.944,2,0,7,0,,,
1,2026-09-11 15:15:15,bge-reranker-v2-m3,Hard,9,5,0.667,0.556,0.748,0.648,1,2,4,2,,,
1,2026-09-11 15:15:15,bge-reranker-v2-m3,Medium,9,5,0.444,0.444,0.601,0.583,1,0,6,2,,,
1,2026-09-11 15:15:15,bge-reranker-v2-m3,구어체,10,5,1.0,1.0,1.0,1.0,0,0,10,0,,,
1,2026-09-11 15:15:15,bge-reranker-v2-m3,긴질문,10,5,0.7,0.7,0.825,0.85,2,1,7,0,,,
1,2026-09-11 15:15:15,bge-reranker-v2-m3,오타,10,5,1.0,1.0,1.0,1.0,0,0,10,0,,,
1,2026-09-11 15:15:15,bge-reranker-v2-m3,확장,178,5,0.787,0.573,0.892,0.785,23,62,93,0,,,
1,2026-09-11 15:15:15,bge-reranker-v2-m3,전체,235,10,0.783,0.621,0.881,0.803,33,66,136,0,0.01117,0.01716,0.973
1,2026-09-11 15:15:15,bge-reranker-v2-m3,Easy,9,10,0.778,0.889,0.87,0.944,2,0,7,0,,,
1,2026-09-11 15:15:15,bge-reranker-v2-m3,Hard,9,10,0.667,0.556,0.748,0.707,3,2,4,0,,,
1,2026-09-11 15:15:15,bge-reranker-v2-m3,Medium,9,10,0.444,0.444,0.601,0.657,3,0,6,0,,,
1,2026-09-11 15:15:15,bge-reranker-v2-m3,구어체,10,10,1.0,1.0,1.0,1.0,0,0,10,0,,,
1,2026-09-11 15:15:15,bge-reranker-v2-m3,긴질문,10,10,0.7,0.7,0.825,0.833,2,2,6,0,,,
1,2026-09-11 15:15:15,bge-reranker-v2-m3,오타,10,10,1.0,1.0,1.0,1.0,0,0,10,0,,,
1,2026-09-11 15:15:15,bge-reranker-v2-m3,확장,178,10,0.787,0.573,0.892,0.785,23,62,93,0,,,
1,2026-09-11 15:15:15,bge-reranker-v2-m3,전체,235,15,0.783,0.621,0.881,0.802,33,67,135,0,0.01117,0.02306,0.973
1,2026-09-11 15:15:15,bge-reranker-v2-m3,Easy,9,15,0.778,0.889,0.87,0.944,2,0,7,0,,,
1,2026-09-11 15:15:15,bge-reranker-v2-m3,Hard,9,15,0.667,0.556,0.748,0.694,3,2,4,0,,,
1,2026-09-11 15:15:15,bge-reranker-v2-m3,Medium,9,15,0.444,0.444,0.601,0.636,3,1,5,0,,,
1,2026-09-11 15:15:15,bge-reranker-v2-m3,구어체,10,15,1.0,1.0,1.0,1.0,0,0,10,0,,,
1,2026-09-11 15:15:15,bge-reranker-v2-m3,긴질문,10,15,0.7,0.7,0.825,0.833,2,2,6,0,,,
1,2026-09-11 15:15:15,bge-reranker-v2-m3,오타,10,15,1.0,1.0,1.0,1.0,0,0,10,0,,,
1,2026-09-11 15:15:15,bge-reranker-v2-m3,확장,178,15,0.787,0.573,0.892,0.785,23,62,93,0,,,
1,2026-09-11 15:15:15,bge-reranker-v2-m3,전체,235,20,0.783,0.621,0.881,0.802,33,67,135,0,0.01117,0.02926,0.973
1,2026-09-11 15:15:15,bge-reranker-v2-m3,Easy,9,20,0.778,0.889,0.87,0.944,2,0,7,0,,,
