run,timestamp,reranker,category,n,final_k,buffer,rerank_window,baseline_hit_rate,reranked_hit_rate,baseline_mrr,reranked_mrr,n_improved,n_worsened,n_unchanged,n_stage1_miss,avg_embed_latency_sec,avg_rerank_latency_sec,faq_corpus_embed_time_sec
1,2026-09-11 17:10:32,bge-reranker-v2-m3,전체,235,5,0,5,0.983,0.983,0.961,0.949,6,9,216,4,0.01062,0.01135,0.827
1,2026-09-11 17:10:32,bge-reranker-v2-m3,Easy,9,5,0,5,1.0,1.0,0.87,0.944,2,0,7,0,,,
1,2026-09-11 17:10:32,bge-reranker-v2-m3,Hard,9,5,0,5,0.778,0.778,0.722,0.648,1,2,4,2,,,
1,2026-09-11 17:10:32,bge-reranker-v2-m3,Medium,9,5,0,5,0.778,0.778,0.578,0.583,1,0,6,2,,,
1,2026-09-11 17:10:32,bge-reranker-v2-m3,구어체,10,5,0,5,1.0,1.0,1.0,1.0,0,0,10,0,,,
1,2026-09-11 17:10:32,bge-reranker-v2-m3,긴질문,10,5,0,5,1.0,1.0,0.825,0.85,2,1,7,0,,,
1,2026-09-11 17:10:32,bge-reranker-v2-m3,오타,10,5,0,5,1.0,1.0,1.0,1.0,0,0,10,0,,,
1,2026-09-11 17:10:32,bge-reranker-v2-m3,확장,178,5,0,5,1.0,1.0,1.0,0.983,0,6,172,0,,,
1,2026-09-11 17:10:32,bge-reranker-v2-m3,전체,235,5,5,10,0.983,0.996,0.961,0.953,9,10,216,0,0.01062,0.01545,0.827
1,2026-09-11 17:10:32,bge-reranker-v2-m3,Easy,9,5,5,10,1.0,1.0,0.87,0.944,2,0,7,0,,,
1,2026-09-11 17:10:32,bge-reranker-v2-m3,Hard,9,5,5,10,0.778,1.0,0.722,0.707,3,2,4,0,,,
1,2026-09-11 17:10:32,bge-reranker-v2-m3,Medium,9,5,5,10,0.778,0.889,0.578,0.639,2,0,7,0,,,
1,2026-09-11 17:10:32,bge-reranker-v2-m3,구어체,10,5,5,10,1.0,1.0,1.0,1.0,0,0,10,0,,,
1,2026-09-11 17:10:32,bge-reranker-v2-m3,긴질문,10,5,5,10,1.0,1.0,0.825,0.833,2,2,6,0,,,
1,2026-09-11 17:10:32,bge-reranker-v2-m3,오타,10,5,5,10,1.0,1.0,1.0,1.0,0,0,10,0,,,
1,2026-09-11 17:10:32,bge-reranker-v2-m3,확장,178,5,5,10,1.0,1.0,1.0,0.983,0,6,172,0,,,
1,2026-09-11 17:10:32,bge-reranker-v2-m3,전체,235,5,10,15,0.983,0.991,0.961,0.951,8,11,216,0,0.01062,0.02079,0.827
1,2026-09-11 17:10:32,bge-reranker-v2-m3,Easy,9,5,10,15,1.0,1.0,0.87,0.944,2,0,7,0,,,
1,2026-09-11 17:10:32,bge-reranker-v2-m3,Hard,9,5,10,15,0.778,0.889,0.722,0.676,2,2,5,0,,,
1,2026-09-11 17:10:32,bge-reranker-v2-m3,Medium,9,5,10,15,0.778,0.889,0.578,0.62,2,1,6,0,,,
1,2026-09-11 17:10:32,bge-reranker-v2-m3,구어체,10,5,10,15,1.0,1.0,1.0,1.0,0,0,10,0,,,
1,2026-09-11 17:10:32,bge-reranker-v2-m3,긴질문,10,5,10,15,1.0,1.0,0.825,0.833,2,2,6,0,,,
1,2026-09-11 17:10:32,bge-reranker-v2-m3,오타,10,5,10,15,1.0,1.0,1.0,1.0,0,0,10,0,,,
1,2026-09-11 17:10:32,bge-reranker-v2-m3,확장,178,5,10,15,1.0,1.0,1.0,0.983,0,6,172,0,,,
1,2026-09-11 17:10:32,bge-reranker-v2-m3,전체,235,5,15,20,0.983,0.991,0.961,0.951,8,11,216,0,0.01062,0.02649,0.827
1,2026-09-11 17:10:32,bge-reranker-v2-m3,Easy,9,5,15,20,1.0,1.0,0.87,0.944,2,0,7,0,,,
1,2026-09-11 17:10:32,bge-reranker-v2-m3,Hard,9,5,15,20,0.778,0.889,0.722,0.676,2,2,5,0,,,
1,2026-09-11 17:10:32,bge-reranker-v2-m3,Medium,9,5,15,20,0.778,0.889,0.578,0.62,2,1,6,0,,,
1,2026-09-11 17:10:32,bge-reranker-v2-m3,구어체,10,5,15,20,1.0,1.0,1.0,1.0,0,0,10,0,,,
1,2026-09-11 17:10:32,bge-reranker-v2-m3,긴질문,10,5,15,20,1.0,1.0,0.825,0.833,2,2,6,0,,,
1,2026-09-11 17:10:32,bge-reranker-v2-m3,오타,10,5,15,20,1.0,1.0,1.0,1.0,0,0,10,0,,,
1,2026-09-11 17:10:32,bge-reranker-v2-m3,확장,178,5,15,20,1.0,1.0,1.0,0.983,0,6,172,0,,,
1,2026-09-11 17:10:32,bge-reranker-v2-m3,전체,235,5,20,25,0.983,0.991,0.961,0.951,8,11,216,0,0.01062,0.0331,0.827
1,2026-09-11 17:10:32,bge-reranker-v2-m3,Easy,9,5,20,25,1.0,1.0,0.87,0.944,2,0,7,0,,,
1,2026-09-11 17:10:32,bge-reranker-v2-m3,Hard,9,5,20,25,0.778,0.889,0.722,0.676,2,2,5,0,,,
1,2026-09-11 17:10:32,bge-reranker-v2-m3,Medium,9,5,20,25,0.778,0.889,0.578,0.62,2,1,6,0,,,
1,2026-09-11 17:10:32,bge-reranker-v2-m3,구어체,10,5,20,25,1.0,1.0,1.0,1.0,0,0,10,0,,,
1,2026-09-11 17:10:32,bge-reranker-v2-m3,긴질문,10,5,20,25,1.0,1.0,0.825,0.833,2,2,6,0,,,
